location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,distributor_network,nearest_grid_mw,grid_dist_km,tier,tier_label,target_name,demand_level,priority,priority_action,estimated_demand_kw,data_quality,daily_sessions_p80,daily_sessions_avg,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,is_tent,afir_gap_threshold_km,utilization_pct
IBE_037,36.797737,-6.058119,A-4,5,Congested,Endesa,0.0,6.9,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,750,unknown,162,137,85.3,2,3,5,305000,True,60,57.5
IBE_038,40.649276,-4.07103,A-6,3,Congested,Naturgy,0.335,19.9,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,249000,True,60,54.4
IBE_039,40.72503,-4.265124,A-6,3,Congested,Naturgy,0.335,6.6,2,Partner Co-location,Los Llanos,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,249000,True,60,54.4
IBE_040,40.981621,-4.250164,A-6,3,Moderate,Naturgy,1.285,10.2,2,Partner Co-location,Suministros Los Olmos,High,2,Deploy 4-11 chargers. Plan grid expansion.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_041,41.204354,-4.629356,A-6,3,Congested,Naturgy,0.488,25.5,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,314000,True,60,54.4
IBE_042,41.479097,-4.959135,A-6,3,Sufficient,i-DE,14.76,26.0,2,Partner Co-location,Coaduero,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_043,41.503082,-5.468049,A-6,3,Sufficient,i-DE,36.0,22.6,3,New Partner,New site needed,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,194000,True,60,54.4
IBE_044,41.641815,-5.792453,A-6,3,Sufficient,i-DE,36.0,12.7,2,Partner Co-location,Estación de Servicio Losada Montamarta,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_045,41.987228,-5.633901,A-6,3,Sufficient,Naturgy,2.192,40.2,1,Upgrade Iberdrola,Estación de carga Iberdrola,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_046,42.396233,-5.595422,A-6,3,Sufficient,Naturgy,2.192,26.6,2,Partner Co-location,,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_047,42.623427,-5.741687,A-6,3,Sufficient,Naturgy,2.414,31.2,2,Partner Co-location,Área de descanso,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_048,42.849217,-5.994219,A-6,3,Congested,Viesgo,0.111,20.7,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,314000,True,60,54.4
IBE_049,42.629796,-6.169868,A-6,3,Congested,Naturgy,0.428,17.8,3,New Partner,New site needed,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,314000,True,60,54.4
IBE_050,42.564691,-6.644133,A-6,3,Congested,Naturgy,0.522,0.8,2,Partner Co-location,Valcarce,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,249000,True,60,54.4
IBE_051,42.572037,-7.042663,A-6,3,Sufficient,Naturgy,2.193,17.4,2,Partner Co-location,O Muín,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_052,42.492638,-7.209085,A-6,3,Sufficient,i-DE,35.0,11.2,2,Partner Co-location,,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_053,42.447092,-7.584901,A-6,3,Sufficient,Naturgy,2.285,9.2,3,New Partner,New site needed,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,194000,True,60,54.4
IBE_054,42.619208,-7.805595,A-6,3,Sufficient,Naturgy,3.301,3.1,2,Partner Co-location,Icos Oil,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_055,42.920584,-8.021155,A-6,3,Congested,Naturgy,0.285,1.5,2,Partner Co-location,Repsol,High,4,Grid upgrade prerequisite. Partner with DSO.,450,measured,92,77,80.8,2,2,3,249000,True,60,54.4
IBE_056,43.204268,-8.177816,A-6,3,Sufficient,Naturgy,10.982,23.6,1,Upgrade Iberdrola,,High,1,Deploy full hub (12 chargers). Top priority.,450,measured,92,77,80.8,2,2,3,129000,True,60,54.4
IBE_057,40.593365,-6.614326,A-62,3,Sufficient,i-DE,3.0,85.2,3,New Partner,New site needed,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,194000,True,60,58.0
IBE_058,40.809063,-6.162469,A-62,3,Sufficient,i-DE,112.34,76.1,2,Partner Co-location,,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_059,40.885394,-5.9562,A-62,3,Sufficient,i-DE,2.4,65.4,2,Partner Co-location,Repsol,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_060,41.072502,-5.521517,A-62,3,Sufficient,i-DE,2.4,53.5,2,Partner Co-location,,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_061,41.316402,-5.218363,A-62,3,Sufficient,i-DE,36.0,49.6,2,Partner Co-location,Estación de Servicio Alaejos,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_062,41.477302,-5.049658,A-62,3,Sufficient,i-DE,14.76,31.8,2,Partner Co-location,,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_063,41.755032,-4.6375,A-62,3,Sufficient,i-DE,14.76,14.8,2,Partner Co-location,Repsol,Medium,3,Deploy standard (8 chargers). Monitor growth.,450,measured,98,83,86.0,2,2,3,129000,True,60,58.0
IBE_064,42.056176,-4.238828,A-62,3,Congested,Viesgo,0.044,25.9,2,Partner Co-location,Moeve,Medium,7,Defer unless strategic. Focus on grid upgrade.,450,measured,98,83,86.0,2,2,3,249000,True,60,58.0
IBE_065,42.304774,-3.774991,A-62,3,Congested,Viesgo,0.044,36.2,1,Upgrade Iberdrola,,Medium,7,Defer unless strategic. Focus on grid upgrade.,450,measured,98,83,86.0,2,2,3,249000,True,60,58.0
IBE_066,36.421358,-5.2175,A-7,7,Congested,Endesa,0.0,1.8,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_067,36.504016,-4.733333,A-7,7,Congested,Endesa,0.0,3.3,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_068,36.740296,-4.385792,A-7,7,Congested,Endesa,0.0,0.6,1,Upgrade Iberdrola,,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_069,36.766506,-3.875544,A-7,7,Congested,Endesa,0.0,0.2,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
IBE_070,36.710027,-3.408672,A-7,7,Congested,Endesa,0.0,3.4,2,Partner Co-location,Moeve,High,4,Grid upgrade prerequisite. Partner with DSO.,1050,unknown,212,179,79.8,2,4,7,361000,True,60,53.8
