bottleneck_id,latitude,longitude,route_segment,distributor_network,estimated_demand_kw,grid_status
FRIC_145,37.25338,-4.52975,A-45,Endesa,750,Congested
FRIC_146,36.925378,-4.447329,A-45,Endesa,750,Congested
FRIC_147,37.338593,-7.010963,A-49,Endesa,600,Congested
FRIC_148,37.326823,-6.828497,A-49,Endesa,600,Congested
FRIC_149,37.361072,-6.274623,A-49,Endesa,600,Congested
FRIC_150,40.213387,-4.095692,A-5,Naturgy,750,Moderate
FRIC_151,40.047193,-4.39255,A-5,i-DE,750,Moderate
FRIC_152,39.958875,-4.825188,A-5,i-DE,750,Moderate
FRIC_153,39.706008,-5.075157,A-5,Endesa,750,Congested
FRIC_154,39.168252,-5.883492,A-5,Endesa,750,Congested
FRIC_155,38.937315,-6.302692,A-5,Endesa,750,Congested
FRIC_156,38.866597,-6.798955,A-5,Endesa,750,Congested
FRIC_157,41.31275,-4.30481,A-50,Naturgy,600,Congested
FRIC_158,42.310262,-8.16887,A-52,Naturgy,600,Moderate
FRIC_159,42.345134,-7.878304,A-52,Naturgy,600,Moderate
FRIC_160,42.062157,-7.680281,A-52,Naturgy,600,Moderate
FRIC_161,41.989127,-7.244194,A-52,Naturgy,600,Moderate
FRIC_162,42.008749,-6.130735,A-52,Naturgy,600,Moderate
FRIC_163,43.457483,-5.508706,A-64,Viesgo,1050,Congested
FRIC_164,37.743476,-5.935056,A-66,Endesa,450,Congested
FRIC_165,38.173186,-6.193805,A-66,Endesa,450,Congested
FRIC_166,38.478288,-6.359,A-66,Endesa,450,Congested
FRIC_167,38.930892,-6.337579,A-66,Endesa,450,Congested
FRIC_168,39.257255,-6.111739,A-66,Endesa,450,Congested
FRIC_169,42.909001,-5.651654,A-66,Viesgo,450,Congested
FRIC_170,43.135261,-5.821283,A-66,Viesgo,450,Congested
FRIC_171,42.346418,-4.389489,A-67,Viesgo,900,Moderate
FRIC_172,42.759563,-4.288586,A-67,Viesgo,900,Congested
FRIC_173,43.103407,-4.09006,A-67,Viesgo,900,Congested
FRIC_174,43.438373,-3.884513,A-67,Viesgo,900,Congested
FRIC_175,41.865195,-1.384901,A-68,Endesa,1200,Congested
FRIC_176,41.727805,-1.045921,A-68,Endesa,1200,Congested
FRIC_177,37.278869,-5.554208,A-92,Endesa,1050,Congested
FRIC_178,37.233654,-5.126244,A-92,Endesa,1050,Congested
FRIC_179,37.138479,-4.725009,A-92,Endesa,1050,Congested
FRIC_180,37.147732,-4.23273,A-92,Endesa,1050,Congested
FRIC_181,37.194094,-3.842592,A-92,Endesa,1050,Congested
FRIC_182,37.306528,-3.419514,A-92,Endesa,1050,Congested
FRIC_183,37.194209,-2.986224,A-92,Endesa,1050,Congested
FRIC_184,37.117525,-2.598046,A-92,Endesa,1050,Congested
FRIC_185,37.132049,-2.507687,A-92,Endesa,1050,Congested
FRIC_186,42.621584,-1.630735,AP-15,i-DE,300,Moderate
FRIC_187,42.202623,-1.675581,AP-15,i-DE,300,Moderate
FRIC_188,42.226897,-1.680088,AP-15,i-DE,300,Moderate
FRIC_189,42.36445,-1.723974,AP-15,i-DE,300,Moderate
FRIC_190,42.699267,-1.638201,AP-15,i-DE,300,Moderate
FRIC_191,41.522307,-0.159982,AP-2,Endesa,300,Congested
FRIC_192,41.496047,0.389048,AP-2,Endesa,300,Congested
FRIC_193,41.524296,0.068398,AP-2,Endesa,300,Congested
FRIC_194,41.495995,0.121585,AP-2,Endesa,300,Congested
FRIC_195,41.387105,1.174495,AP-2,Endesa,300,Congested
FRIC_196,43.027581,-8.401568,AP-9,Naturgy,900,Congested
FRIC_197,42.362952,-8.640623,AP-9,Naturgy,900,Moderate
FRIC_198,41.653591,1.425547,C-25,Endesa,1350,Congested
FRIC_199,41.75444,1.88475,C-25,Endesa,1350,Congested
FRIC_200,40.98389,-3.63964,N-1,Naturgy,600,Moderate
FRIC_201,41.097,-3.59284,N-1,Naturgy,600,Congested
FRIC_202,41.44173,-3.343,N-1,Naturgy,600,Congested
FRIC_203,41.76514,-2.52393,N-1,Endesa,600,Congested
FRIC_204,42.10998,-2.63343,N-1,Endesa,600,Moderate
FRIC_205,42.41634,-2.64562,N-1,i-DE,600,Moderate
FRIC_206,42.56195,-2.83863,N-1,i-DE,600,Moderate
FRIC_207,42.90713,-2.64826,N-1,i-DE,600,Moderate
FRIC_208,41.02414,-3.95559,N-110,Naturgy,1050,Moderate
FRIC_209,41.07995,-3.59825,N-110,Naturgy,3300,Congested
FRIC_210,42.429229,-2.772549,N-120,i-DE,750,Moderate
FRIC_211,42.42723,-3.138733,N-120,i-DE,750,Moderate
FRIC_212,42.34284,-3.691385,N-120,Viesgo,750,Congested
FRIC_213,42.400627,-4.165083,N-120,Viesgo,750,Congested
FRIC_214,42.601638,-6.497502,N-120,Naturgy,750,Congested
FRIC_215,42.553206,-6.564152,N-120,Naturgy,750,Congested
FRIC_216,42.94404,-1.26932,N-121,Endesa,1200,Congested
FRIC_217,42.89531,-1.55451,N-121,i-DE,900,Moderate
FRIC_218,41.6031,-2.98844,N-122,Endesa,750,Congested
FRIC_219,41.59771,-3.3592,N-122,Naturgy,750,Congested
FRIC_220,41.61573,-3.91943,N-122,Naturgy,750,Congested
FRIC_221,40.89846,-2.75713,N-2,Endesa,1050,Congested
FRIC_222,41.33219,-1.65317,N-2,Endesa,1050,Congested
FRIC_223,41.34175,-1.22615,N-2,Endesa,1050,Congested
FRIC_224,41.58605,-0.95342,N-2,Endesa,1050,Congested
FRIC_225,41.64415,-0.63372,N-2,Endesa,1050,Congested
FRIC_226,41.51889,-0.27518,N-2,Endesa,1050,Congested
FRIC_227,41.49097,0.3473,N-2,Endesa,1050,Congested
