location_id,latitude,longitude,route_segment,n_chargers_proposed,grid_status,data_quality,daily_sessions_p80,daily_sessions_avg,utilization_pct,util_peak_hour_pct,chargers_floor,chargers_demand_p80,chargers_peak_hr,cost_eur,fin_revenue_yr,fin_ebitda_yr,fin_ebitda_margin,fin_net_capex,fin_payback_yrs,fin_npv_10yr,is_tent
IBE_242,40.770053,-5.627529,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_243,41.149384,-5.641701,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,194000,160045,50586,31.6,135800,2.7,219495,False
IBE_244,41.376618,-5.719608,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_245,41.527094,-5.69801,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_246,41.80099,-5.755191,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_247,42.165135,-5.63538,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_248,42.572653,-5.567732,A-66,3,Sufficient,measured,90,76,53.3,79.0,2,2,3,129000,160045,50586,31.6,90300,1.8,264995,False
IBE_249,42.909001,-5.651654,A-66,3,Congested,measured,90,76,53.3,79.0,2,2,3,249000,160045,50586,31.6,174300,3.4,180995,False
IBE_250,43.135261,-5.821283,A-66,3,Congested,measured,90,76,53.3,79.0,2,2,3,249000,160045,50586,31.6,174300,3.4,180995,False
IBE_251,42.346418,-4.389489,A-67,6,Moderate,measured,172,146,50.9,75.5,2,4,6,213000,320090,112812,35.2,149100,1.3,643244,False
IBE_252,42.759563,-4.288586,A-67,6,Congested,measured,172,146,50.9,75.5,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_253,43.103407,-4.09006,A-67,6,Congested,measured,172,146,50.9,75.5,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_254,43.438373,-3.884513,A-67,6,Congested,measured,172,146,50.9,75.5,2,4,6,333000,320090,112812,35.2,233100,2.1,559244,False
IBE_255,41.865195,-1.384901,A-68,8,Congested,unknown,250,211,55.5,82.3,2,5,8,389000,426787,154296,36.2,272300,1.8,811411,False
IBE_256,41.727805,-1.045921,A-68,8,Congested,unknown,250,211,55.5,82.3,2,5,8,389000,426787,154296,36.2,272300,1.8,811411,False
IBE_257,37.278869,-5.554208,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_258,37.233654,-5.126244,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_259,37.138479,-4.725009,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,426000,373439,133554,35.8,298200,2.2,639827,False
IBE_260,37.147732,-4.23273,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_261,37.194094,-3.842592,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_262,37.306528,-3.419514,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_263,37.194209,-2.986224,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_264,37.117525,-2.598046,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,361000,373439,133554,35.8,252700,1.9,685327,False
IBE_265,37.132049,-2.507687,A-92,7,Congested,unknown,216,182,54.8,81.3,2,4,7,426000,373439,133554,35.8,298200,2.2,639827,False
IBE_266,42.621584,-1.630735,AP-15,2,Moderate,measured,44,37,39.1,58.0,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_267,42.202623,-1.675581,AP-15,2,Moderate,measured,44,37,39.1,58.0,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_268,42.226897,-1.680088,AP-15,2,Moderate,measured,44,37,39.1,58.0,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_269,42.36445,-1.723974,AP-15,2,Moderate,measured,44,37,39.1,58.0,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_270,42.699267,-1.638201,AP-15,2,Moderate,measured,44,37,39.1,58.0,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_271,41.522307,-0.159982,AP-2,2,Congested,unknown,52,44,46.2,68.5,2,2,2,221000,106697,29844,28.0,154700,5.2,54912,False
IBE_272,41.496047,0.389048,AP-2,2,Congested,unknown,52,44,46.2,68.5,2,2,2,221000,106697,29844,28.0,154700,5.2,54912,False
IBE_273,41.524296,0.068398,AP-2,2,Congested,unknown,52,44,46.2,68.5,2,2,2,221000,106697,29844,28.0,154700,5.2,54912,False
IBE_274,41.495995,0.121585,AP-2,2,Congested,unknown,52,44,46.2,68.5,2,2,2,221000,106697,29844,28.0,154700,5.2,54912,False
IBE_275,41.539022,0.663171,AP-2,2,Sufficient,measured,52,44,46.2,68.5,2,2,2,101000,106697,29844,28.0,70700,2.4,138912,False
IBE_276,41.387105,1.174495,AP-2,2,Congested,unknown,52,44,46.2,68.5,2,2,2,221000,106697,29844,28.0,154700,5.2,54912,False
IBE_277,43.17496,-2.51339,AP-8,8,Sufficient,measured,259,218,57.5,85.3,2,5,8,269000,426787,154296,36.2,188300,1.2,895411,False
